"Group" "Actor" "Partner" "Dyad" "calm" "sociable" "like" "careful" "relaxed" "talkative" "responsible" "sex" "age"
8 2 3 5 6 2 3 4 2 3 4 2 19
8 2 4 6 3 5 6 3 6 5 4 2 19
8 2 5 7 6 5 5 5 5 5 5 2 19
8 3 1 2 7 3 6 4 6 2 6 1 19
8 3 2 5 6 2 6 5 5 2 5 1 19
8 3 4 8 7 6 5 3 6 6 4 1 19
8 3 5 9 2 7 5 4 2 7 4 1 19
8 4 1 3 7 6 5 7 7 4 7 2 18
8 4 2 6 7 4 4 7 7 4 2 2 18
8 4 3 8 6 2 2 7 7 3 6 2 18
8 4 5 10 3 7 6 4 4 7 4 2 18
8 5 1 4 6 2 5 6 3 2 5 2 18
8 5 2 7 5 4 6 5 5 5 5 2 18
8 5 3 9 3 5 6 6 5 5 6 2 18
8 5 4 10 4 5 5 4 6 5 4 2 18
9 1 2 1 5 5 4 7 3 2 5 2 18
9 1 3 2 3 7 4 4 5 5 4 2 18
9 1 4 3 4 3 4 5 4 2 7 2 18
9 1 5 4 4 4 4 5 5 4 5 2 18
9 2 1 1 3 4 4 6 2 3 6 1 19
9 2 3 5 5 7 6 4 5 7 4 1 19
9 2 4 6 2 2 4 7 2 2 7 1 19
9 2 5 7 6 6 5 4 6 5 4 1 19
9 3 1 2 2 3 5 4 2 2 3 1 18
9 3 2 5 5 5 5 5 4 4 5 1 18
9 3 4 8 4 2 3 4 3 2 6 1 18
9 3 5 9 5 6 6 4 5 5 4 1 18
9 4 1 3 2 2 7 6 2 1 7 1 21
9 4 2 6 6 4 4 4 6 2 4 1 21
9 4 3 8 6 7 6 4 5 7 5 1 21
9 4 5 10 3 6 4 3 4 4 3 1 21
9 5 1 4 1 3 4 7 1 2 6 1 19
9 5 2 7 4 5 3 5 3 3 5 1 19
9 5 3 9 6 6 6 6 5 6 5 1 19
9 5 4 10 5 3 4 5 2 2 5 1 19
10 1 2 1 6 7 4 4 6 5 2 1 18
10 1 3 2 3 5 5 5 4 3 3 1 18
10 1 4 3 6 5 3 3 3 2 6 1 18
10 1 5 4 6 6 6 4 5 7 5 1 18
10 2 1 1 2 5 3 6 2 2 7 1 18
10 2 3 5 3 5 3 6 3 5 6 1 18
10 2 4 6 4 5 3 6 4 2 7 1 18
10 2 5 7 4 5 4 6 3 3 7 1 18
10 3 1 2 4 6 6 4 6 6 5 1 19
10 3 2 5 5 5 6 3 5 5 5 1 19
10 3 4 8 6 4 6 5 4 5 6 1 19
10 3 5 9 6 7 7 5 7 7 6 1 19
10 4 1 3 2 5 4 2 2 3 3 2 19
10 4 2 6 6 3 4 5 5 3 5 2 19
10 4 3 8 4 5 4 4 5 4 5 2 19
10 4 5 10 2 6 5 3 4 5 4 2 19
10 5 1 4 5 3 6 6 3 3 6 1 19
10 5 2 7 6 5 5 6 5 5 6 1 19
10 5 3 9 6 5 4 6 6 6 6 1 19
10 5 4 10 5 4 5 6 5 3 6 1 19
11 1 2 1 5 2 4 6 2 1 7 2 19
11 1 3 2 7 6 6 6 5 5 7 2 19
11 1 4 3 7 6 5 6 6 4 7 2 19
11 1 5 4 7 7 6 6 6 4 6 2 19
11 2 1 1 4 5 4 4 4 5 4 1 19
11 2 3 5 6 4 5 5 5 3 6 1 19
11 2 4 6 6 4 5 4 5 4 5 1 19
11 2 5 7 5 5 5 6 5 4 6 1 19
11 3 1 2 5 5 4 4 6 3 6 1 20
11 3 2 5 4 3 4 4 4 2 4 1 20
11 3 4 8 4 6 4 6 4 6 7 1 20
11 3 5 9 4 6 4 5 5 6 5 1 20
11 4 1 3 2 2 4 6 2 1 6 1 19
11 4 2 6 2 2 5 6 1 1 5 1 19
11 4 3 8 5 6 4 3 2 6 3 1 19
11 4 5 10 2 3 6 6 4 2 6 1 19
11 5 1 4 5 3 5 6 3 3 6 1 18
11 5 2 7 6 2 5 4 3 2 4 1 18
11 5 3 9 3 7 7 6 6 6 6 1 18
11 5 4 10 6 6 6 6 6 3 5 1 18
12 1 2 1 7 6 4 6 7 4 6 1 18
12 1 3 2 6 6 4 6 6 4 7 1 18
12 1 4 3 7 6 4 7 7 4 7 1 18
12 1 5 4 6 6 4 6 7 4 6 1 18
12 2 1 1 5 6 5 6 5 6 5 2 18
12 2 3 5 5 5 5 5 2 2 5 2 18
12 2 4 6 5 4 5 6 6 2 6 2 18
12 2 5 7 3 6 6 5 2 2 5 2 18
12 3 1 2 6 4 5 5 3 6 7 2 18
12 3 2 5 7 6 5 6 6 5 4 2 18
12 3 4 8 4 2 5 4 4 2 6 2 18
12 3 5 9 3 3 6 5 3 4 6 2 18
12 4 1 3 4 6 6 5 4 3 7 1 19
12 4 2 6 5 5 6 5 5 5 6 1 19
12 4 3 8 3 5 6 7 3 2 6 1 19
12 4 5 10 2 3 5 6 2 1 6 1 19
12 5 1 4 6 6 5 5 3 4 6 2 20
12 5 2 7 4 4 5 4 5 6 4 2 20
12 5 3 9 6 5 4 6 6 5 7 2 20
12 5 4 10 5 3 4 6 3 3 7 2 20
13 1 2 1 5 5 6 5 3 3 4 1 18
13 1 3 2 7 7 6 5 6 6 5 1 18
13 1 4 3 6 6 6 6 6 5 6 1 18
13 1 5 4 6 5 5 7 6 5 6 1 18
13 1 6 5 6 5 5 6 7 4 6 1 18
13 2 1 1 6 7 5 6 5 5 7 1 19
13 2 3 6 4 7 6 4 6 7 5 1 19
13 2 4 7 7 2 5 5 6 2 7 1 19
13 2 5 8 5 4 5 4 5 4 5 1 19
13 2 6 9 7 2 6 6 7 2 6 1 19
13 3 1 2 6 6 5 5 6 5 7 1 18
13 3 2 6 7 3 5 6 3 4 6 1 18
13 3 4 10 7 5 5 6 6 5 7 1 18
13 3 5 11 7 7 6 6 7 6 6 1 18
13 3 6 12 4 3 6 7 4 2 7 1 18
13 4 1 3 6 3 4 5 3 2 5 1 18
13 4 2 7 6 2 5 6 2 3 5 1 18
13 4 3 10 2 7 6 5 5 7 5 1 18
13 4 5 13 4 4 4 3 3 3 3 1 18
13 4 6 14 6 2 4 5 2 1 4 1 18
13 5 1 4 5 5 4 6 5 5 7 2 18
13 5 2 8 3 5 5 5 3 4 5 2 18
13 5 3 11 6 7 6 4 6 6 4 2 18
13 5 4 13 3 2 4 5 3 2 6 2 18
13 5 6 15 2 1 3 7 1 1 6 2 18
13 6 1 5 5 5 5 5 6 6 7 1 19
13 6 2 9 2 4 6 4 4 3 5 1 19
13 6 3 12 4 7 6 3 4 7 4 1 19
13 6 4 14 6 5 5 7 4 3 7 1 19
13 6 5 15 6 5 2 3 4 4 2 1 19
14 1 2 1 3 4 6 6 3 2 6 2 18
14 1 3 2 3 6 5 6 3 7 6 2 18
14 1 4 3 4 6 6 4 4 3 5 2 18
14 1 5 4 6 6 7 3 6 2 4 2 18
14 1 6 5 2 4 5 5 2 2 6 2 18
14 2 1 1 6 3 4 4 6 3 4 1 18
14 2 3 6 2 6 5 5 3 6 6 1 18
14 2 4 7 4 4 2 1 4 4 1 1 18
14 2 5 8 5 3 5 3 5 3 4 1 18
14 2 6 9 4 4 3 6 4 3 5 1 18
14 3 1 2 5 4 3 2 3 3 2 1 20
14 3 2 6 3 3 4 5 4 3 5 1 20
14 3 4 10 6 5 5 2 4 4 2 1 20
14 3 5 11 3 2 4 4 5 3 4 1 20
14 3 6 12 4 3 5 4 5 4 5 1 20
14 4 1 3 6 5 5 4 5 5 4 2 19
14 4 2 7 4 3 4 5 4 4 6 2 19
14 4 3 10 4 5 4 6 4 6 6 2 19
14 4 5 13 5 4 4 3 5 4 3 2 19
14 4 6 14 4 3 4 6 3 3 7 2 19
14 5 1 4 7 5 4 2 6 2 4 2 20
14 5 2 8 4 3 5 5 2 4 6 2 20
14 5 3 11 2 5 3 6 4 6 6 2 20
14 5 4 13 2 4 4 5 3 6 5 2 20
14 5 6 15 2 3 5 7 2 4 6 2 20
14 6 1 5 5 4 4 3 3 4 4 1 20
14 6 2 9 4 5 3 5 3 5 6 1 20
14 6 3 12 3 6 5 6 5 6 6 1 20
14 6 4 14 6 6 6 2 5 3 2 1 20
14 6 5 15 6 4 6 4 6 4 4 1 20
15 1 2 1 5 6 5 4 6 6 5 1 18
15 1 3 2 2 2 3 4 1 1 4 1 18
15 1 4 3 6 4 6 7 6 2 7 1 18
15 1 5 4 1 6 3 4 1 7 4 1 18
15 1 6 5 2 2 3 6 1 1 6 1 18
15 2 1 1 6 6 5 4 7 5 4 1 18
15 2 3 6 3 7 6 6 7 7 4 1 18
15 2 4 7 7 3 4 7 7 3 7 1 18
15 2 5 8 2 7 6 3 2 7 4 1 18
15 2 6 9 7 6 6 6 7 6 4 1 18
15 3 1 2 6 3 5 4 4 3 4 1 18
15 3 2 6 3 7 5 5 6 7 4 1 18
15 3 4 10 7 6 5 6 5 4 7 1 18
15 3 5 11 3 4 5 6 5 4 6 1 18
15 3 6 12 4 5 6 6 2 3 5 1 18
15 4 1 3 5 5 6 4 4 5 5 2 18
15 4 2 7 3 7 6 5 3 7 6 2 18
15 4 3 10 3 4 4 5 4 3 5 2 18
15 4 5 13 5 4 5 6 3 4 4 2 18
15 4 6 14 5 3 6 6 5 2 6 2 18
15 5 1 4 6 6 5 6 6 4 5 1 18
15 5 2 8 3 7 6 5 3 7 5 1 18
15 5 3 11 3 2 3 3 3 2 3 1 18
15 5 4 13 6 2 3 3 3 3 4 1 18
15 5 6 15 4 3 5 5 2 2 4 1 18
15 6 1 5 3 5 6 5 4 2 6 2 19
15 6 2 9 2 7 6 5 5 7 5 2 19
15 6 3 12 3 4 6 5 4 5 6 2 19
15 6 4 14 4 3 4 5 4 4 5 2 19
15 6 5 15 3 6 6 5 3 7 5 2 19
16 1 2 1 7 4 5 6 6 3 6 1 18
16 1 3 2 3 3 5 6 3 3 4 1 18
16 1 4 3 2 3 4 4 1 1 3 1 18
16 1 5 4 4 3 4 5 3 3 4 1 18
16 1 6 5 7 7 6 3 6 5 6 1 18
16 2 1 1 6 4 2 4 7 4 7 2 18
16 2 3 6 6 5 6 7 7 4 7 2 18
16 2 4 7 2 6 1 1 3 2 1 2 18
16 2 5 8 2 4 2 1 3 3 1 2 18
16 2 6 9 2 6 1 1 3 6 1 2 18
16 3 1 2 7 6 6 7 4 2 7 1 18
16 3 2 6 4 7 6 7 6 7 6 1 18
16 3 4 10 7 2 4 7 6 2 7 1 18
16 3 5 11 7 5 5 7 6 4 7 1 18
16 3 6 12 7 6 5 7 6 4 7 1 18
16 4 1 3 6 4 6 3 6 4 4 2 20
16 4 2 7 6 6 5 6 6 6 4 2 20
16 4 3 10 5 4 5 3 4 2 4 2 20
16 4 5 13 2 2 5 3 2 2 3 2 20
16 4 6 14 2 2 5 6 2 3 2 2 20
16 5 1 4 6 3 6 6 2 1 6 1 18
16 5 2 8 3 5 6 2 5 5 5 1 18
16 5 3 11 4 5 5 6 4 3 6 1 18
16 5 4 13 2 2 3 3 3 4 4 1 18
16 5 6 15 1 1 2 4 3 2 4 1 18
16 6 1 5 6 3 3 4 4 3 3 1 19
16 6 2 9 4 6 6 4 5 6 6 1 19
16 6 3 12 5 3 4 4 3 2 6 1 19
16 6 4 14 5 2 3 4 2 3 5 1 19
16 6 5 15 4 2 3 4 3 2 4 1 19
17 1 2 1 6 5 5 6 5 3 6 1 21
17 1 3 2 4 4 5 6 5 3 4 1 21
17 1 4 3 4 3 5 4 3 2 5 1 21
17 1 5 4 3 5 6 4 4 5 5 1 21
17 2 1 1 7 4 4 6 6 3 6 2 18
17 2 3 5 5 5 5 4 4 2 4 2 18
17 2 4 6 4 3 4 6 4 2 6 2 18
17 2 5 7 5 6 5 6 5 5 6 2 18
17 3 1 2 3 3 5 6 3 2 6 2 19
17 3 2 5 5 4 5 3 4 5 4 2 19
17 3 4 8 3 2 5 5 3 2 5 2 19
17 3 5 9 6 6 6 3 5 5 5 2 19
17 4 1 3 6 5 6 7 3 5 7 2 18
17 4 2 6 3 7 6 7 6 7 6 2 18
17 4 3 8 6 7 6 6 6 6 6 2 18
17 4 5 10 2 7 6 6 2 6 6 2 18
17 5 1 4 6 6 6 6 6 6 7 1 20
17 5 2 7 6 7 6 7 7 6 5 1 20
17 5 3 9 6 6 6 6 6 6 5 1 20
17 5 4 10 6 6 6 6 6 6 6 1 20
18 1 2 1 6 2 3 5 5 2 4 2 17
18 1 3 2 4 2 4 4 4 2 6 2 17
18 1 4 3 4 3 4 3 4 4 4 2 17
18 1 5 4 5 6 4 5 5 6 3 2 17
18 2 1 1 6 1 1 3 2 2 4 2 18
18 2 3 5 4 3 1 7 4 3 4 2 18
18 2 4 6 4 4 1 4 4 5 4 2 18
18 2 5 7 5 3 1 2 5 3 4 2 18
18 3 1 2 2 4 4 2 2 3 4 2 18
18 3 2 5 6 6 5 6 6 4 6 2 18
18 3 4 8 5 5 6 6 5 3 5 2 18
18 3 5 9 5 6 5 6 5 4 4 2 18
18 4 1 3 2 3 4 7 4 3 7 1 18
18 4 2 6 7 7 4 3 7 5 6 1 18
18 4 3 8 2 3 4 7 4 3 7 1 18
18 4 5 10 7 3 4 4 7 3 6 1 18
18 5 1 4 2 2 2 6 1 1 7 2 20
18 5 2 7 6 6 6 4 7 5 6 2 20
18 5 3 9 6 5 4 5 5 4 4 2 20
18 5 4 10 7 6 6 5 7 6 7 2 20
19 1 2 1 2 4 4 4 2 2 4 1 19
19 1 3 2 3 4 4 4 4 5 4 1 19
19 1 4 3 3 5 4 4 3 3 4 1 19
19 1 5 4 2 4 4 4 4 4 4 1 19
19 2 1 1 5 3 5 3 5 3 3 2 19
19 2 3 5 2 2 5 5 3 3 3 2 19
19 2 4 6 6 6 4 5 5 5 5 2 19
19 2 5 7 3 3 5 3 5 2 2 2 19
19 3 1 2 6 3 5 6 4 2 6 2 18
19 3 2 5 6 3 6 4 6 2 4 2 18
19 3 4 8 3 4 4 3 3 4 3 2 18
19 3 5 9 3 4 4 2 3 4 3 2 18
19 4 1 3 4 3 5 6 3 3 7 2 18
19 4 2 6 4 2 4 4 2 3 5 2 18
19 4 3 8 5 4 5 5 3 4 5 2 18
19 4 5 10 3 4 4 2 3 4 3 2 18
19 5 1 4 5 3 5 6 5 3 6 2 20
19 5 2 7 4 5 5 4 3 5 4 2 20
19 5 3 9 6 5 5 6 4 5 6 2 20
19 5 4 10 5 4 5 4 4 3 5 2 20
20 1 2 1 5 6 4 4 3 4 4 1 17
20 1 3 2 3 3 3 5 2 2 5 1 17
20 1 4 3 4 3 4 5 3 3 4 1 17
20 1 5 4 5 6 4 3 2 5 2 1 17
20 2 1 1 7 4 5 7 4 4 6 2 18
20 2 3 5 7 2 3 7 2 3 5 2 18
20 2 4 6 7 2 4 7 3 2 6 2 18
20 2 5 7 2 7 6 7 6 7 4 2 18
20 3 1 2 5 5 5 6 3 2 6 2 20
20 3 2 5 6 6 4 5 5 4 5 2 20
20 3 4 8 6 5 7 7 6 3 7 2 20
20 3 5 9 6 6 3 5 5 5 3 2 20
20 4 1 3 6 5 6 6 6 4 7 1 19
20 4 2 6 6 7 6 6 6 4 7 1 19
20 4 3 8 5 3 4 5 2 2 7 1 19
20 4 5 10 6 7 5 6 7 5 7 1 19
20 5 1 4 3 2 5 5 2 2 6 2 18
20 5 2 7 5 6 5 4 6 5 6 2 18
20 5 3 9 2 3 3 4 2 2 6 2 18
20 5 4 10 3 2 4 5 3 2 6 2 18
21 1 2 1 7 6 6 6 7 7 6 1 19
21 1 3 2 6 6 6 6 5 5 6 1 19
21 1 4 3 6 6 6 7 6 6 7 1 19
21 1 5 4 7 7 7 7 6 7 7 1 19
21 2 1 1 6 6 5 4 3 3 6 2 19
21 2 3 5 5 4 5 5 3 3 5 2 19
21 2 4 6 4 5 6 5 4 4 6 2 19
21 2 5 7 6 6 5 5 5 4 6 2 19
21 3 1 2 2 5 6 6 1 7 6 2 18
21 3 2 5 3 5 6 5 3 7 6 2 18
21 3 4 8 4 4 6 6 5 5 6 2 18
21 3 5 9 6 6 6 6 6 6 6 2 18
21 4 1 3 6 5 5 4 6 5 6 2 18
21 4 2 6 7 6 6 5 6 3 6 2 18
21 4 3 8 7 3 6 6 7 6 6 2 18
21 4 5 10 7 7 6 6 7 7 6 2 18
21 5 1 4 6 5 4 4 6 4 4 1 18
21 5 2 7 4 7 5 5 6 7 4 1 18
21 5 3 9 6 2 6 4 6 2 4 1 18
21 5 4 10 5 3 4 6 5 4 6 1 18
22 1 2 1 6 5 4 5 6 5 6 2 20
22 1 3 2 5 6 3 4 7 6 6 2 20
22 1 4 3 6 4 4 5 6 4 6 2 20
22 1 5 4 5 4 4 5 6 4 6 2 20
22 1 6 5 5 4 4 4 5 4 6 2 20
22 2 1 1 3 3 4 5 2 3 6 2 18
22 2 3 6 4 6 4 5 5 6 4 2 18
22 2 4 7 3 4 4 6 4 5 5 2 18
22 2 5 8 3 3 4 6 1 3 6 2 18
22 2 6 9 6 4 4 5 5 3 5 2 18
22 3 1 2 6 3 3 4 5 2 6 1 19
22 3 2 6 5 5 5 7 6 4 6 1 19
22 3 4 10 4 6 6 6 5 6 6 1 19
22 3 5 11 6 6 6 5 6 5 6 1 19
22 3 6 12 2 3 3 7 4 2 7 1 19
22 4 1 3 6 2 6 6 6 3 6 2 20
22 4 2 7 4 6 6 6 6 4 5 2 20
22 4 3 10 6 6 5 4 6 6 4 2 20
22 4 5 13 3 5 6 4 3 4 6 2 20
22 4 6 14 3 4 5 4 3 3 6 2 20
22 5 1 4 6 3 5 6 6 5 6 2 18
22 5 2 8 3 7 7 7 7 6 7 2 18
22 5 3 11 5 4 2 4 5 5 4 2 18
22 5 4 13 6 3 5 6 4 4 6 2 18
22 5 6 15 4 4 5 6 3 4 6 2 18
22 6 1 5 6 2 6 6 4 2 6 1 22
22 6 2 9 5 5 4 6 4 3 4 1 22
22 6 3 12 2 7 4 6 4 5 5 1 22
22 6 4 14 3 5 5 6 4 4 4 1 22
22 6 5 15 5 4 4 6 4 2 4 1 22
23 1 2 1 3 4 4 5 3 2 5 2 20
23 1 3 2 6 5 5 5 5 5 6 2 20
23 1 4 3 7 6 6 6 7 5 6 2 20
23 1 5 4 5 7 4 5 5 7 5 2 20
23 2 1 1 6 7 5 5 4 2 4 2 18
23 2 3 5 6 5 5 6 3 2 4 2 18
23 2 4 6 6 6 5 6 3 3 7 2 18
23 2 5 7 4 5 5 6 6 7 7 2 18
23 3 1 2 2 3 6 6 2 2 6 1 17
23 3 2 5 1 4 4 5 1 4 6 1 17
23 3 4 8 7 5 7 6 5 2 7 1 17
23 3 5 9 7 6 1 7 7 7 7 1 17
23 4 1 3 6 5 5 6 3 2 5 2 20
23 4 2 6 5 4 4 6 3 4 7 2 20
23 4 3 8 5 5 5 4 3 3 5 2 20
23 4 5 10 6 7 5 5 6 7 5 2 20
23 5 1 4 3 3 3 4 3 3 5 2 18
23 5 2 7 5 4 2 5 3 4 5 2 18
23 5 3 9 5 5 6 5 4 4 7 2 18
23 5 4 10 5 3 4 2 5 4 3 2 18
24 1 2 1 3 5 4 4 3 4 4 2 20
24 1 3 2 5 4 4 5 6 4 2 2 20
24 1 4 3 3 2 4 6 2 2 5 2 20
